iter	Passed	Remaining
142	84016	1678574
143	84688	1679663
144	85337	1680272
145	85978	1680702
146	86653	1681786
147	87257	1681477
148	87917	1682233
149	88544	1682352
150	89227	1683496
151	89861	1683723
152	90484	1683729
153	91459	1690214
154	92367	1695389
155	93074	1696817
156	93390	1691140
157	94019	1691164
158	94692	1691957
159	95590	1696738
160	95884	1690786
161	96630	1692828
162	97352	1694407
163	98160	1697462
164	99019	1701337
165	99923	1705930
166	100788	1709775
167	101777	1715670
168	102512	1717238
169	103056	1715593
170	103724	1716003
171	104421	1716889
172	105050	1716626
173	105834	1718906
174	106503	1719274
175	107204	1720136
176	107894	1720818
177	108514	1720386
178	109225	1721373
179	109906	1721862
180	110559	1721916
181	111231	1722248
182	111853	1721816
183	112556	1722608
184	113216	1722724
185	113949	1723951
186	114667	1724912
187	115285	1724384
188	115931	1724257
189	116472	1722564
190	117086	1721965
191	117937	1724830
192	118603	1724976
193	119306	1725640
194	119914	1724918
195	120527	1724274
196	121236	1725006
197	121855	1724433
198	122662	1726523
199	123350	1726909
200	123566	1720707
201	124222	1720660
202	124873	1720544
203	125498	1720063
204	126136	1719766
205	126721	1718742
206	127335	1718100
207	127964	1717674
208	128713	1718844
209	129130	1715592
210	129747	1715002
211	130382	1714653
212	130623	1709142
213	131263	1708884
214	131869	1708168
215	132496	1707729
216	133158	1707743
217	133864	1708306
218	134681	1710274
219	135328	1710060
220	136299	1713914
221	137228	1717204
222	137869	1716872
223	138552	1717056
224	139241	1717311
225	139930	1717551
226	140540	1716817
227	141188	1716552
228	141817	1716048
229	142587	1717244
230	143207	1716630
231	143833	1716084
232	144443	1715345
233	145093	1715080
234	145762	1715030
235	146396	1714573
236	147038	1714210
237	147605	1712963
238	148227	1712372
239	148877	1712089
240	149660	1713337
241	150432	1714431
242	151056	1713839
243	151658	1712998
244	152244	1711971
245	152827	1710927
246	153477	1710627
247	154530	1714790
248	155175	1714412
249	155836	1714196
250	156482	1713830
251	157305	1715373
252	157969	1715187
253	158648	1715150
254	159369	1715564
255	160149	1716599
256	160866	1716948
257	161510	1716517
258	162229	1716876
259	162886	1716569
260	163610	1716971
261	164249	1716471
262	164908	1716173
263	165526	1715453
264	166124	1714525
265	166817	1714584
266	167526	1714795
267	168239	1715037
268	168867	1714410
269	169614	1714988
270	170272	1714666
271	170893	1713956
272	171498	1713104
273	172251	1713715
274	172928	1713568
275	173675	1714104
276	174319	1713619
277	175008	1713575
278	175894	1715443
279	176494	1714519
280	177077	1713429
281	177654	1712291
282	178229	1711132
283	178899	1710887
284	179496	1709943
285	180121	1709264
286	180754	1708662
287	181330	1707530
288	181990	1707188
289	183096	1711001
290	183712	1710232
291	184416	1710274
292	185073	1709873
293	185683	1709050
294	186236	1707696
295	186873	1707119
296	187422	1705736
297	188054	1705111
298	188705	1704664
299	189304	1703739
300	190099	1704581
301	190738	1704016
302	191489	1704447
303	192125	1703845
304	192829	1703853
305	193413	1702799
306	194031	1702040
307	194618	1701017
308	195281	1700655
309	195873	1699677
310	196542	1699363
311	197146	1698490
312	197762	1697726
313	198481	1697837
314	199069	1696833
315	199678	1696007
316	200230	1694698
317	200831	1693803
318	201424	1692849
319	202041	1692096
320	202693	1691637
321	203401	1691642
322	204503	1694906
323	205126	1694191
324	205785	1693772
325	206420	1693158
326	207004	1692115
327	207656	1691644
328	208283	1690954
329	209097	1691792
330	209621	1690271
331	210180	1689041
332	210865	1688820
333	211487	1688102
334	212127	1687523
335	212683	1686280
336	213239	1685031
337	213822	1684008
338	214471	1683504
339	215134	1683109
340	215783	1682604
341	216372	1681629
342	216976	1680777
343	217635	1680351
344	218419	1680883
345	219201	1681391
346	219845	1680832
347	220858	1683090
348	221524	1682701
349	222232	1682620
350	222817	1681604
351	223402	1680599
352	224039	1679979
353	224753	1679933
354	225392	1679334
355	226033	1678744
356	226774	1678890
357	227752	1680788
358	228392	1680181
359	229075	1679889
360	229755	1679569
361	230462	1679450
362	231088	1678731
363	231688	1677829
364	232376	1677564
365	233208	1678332
366	233951	1678457
367	234566	1677660
368	235202	1677015
369	235917	1676928
370	236710	1677387
371	237518	1677951
372	238064	1676660
373	238862	1677148
374	239501	1676513
375	240297	1676971
376	240897	1676061
377	241520	1675306
378	242139	1674533
379	242766	1673807
380	243396	1673109
381	244006	1672278
382	244555	1671021
383	245192	1670371
384	245890	1670137
385	246500	1669309
386	247071	1668208
387	247662	1667250
388	248225	1666107
389	248843	1665337
390	249356	1663862
391	249941	1662878
392	250525	1661883
393	251120	1660964
394	251755	1660310
395	252345	1659362
396	252963	1658598
397	253616	1658063
398	254229	1657271
399	254876	1656696
400	255423	1655475
401	256159	1655478
402	256789	1654796
403	257388	1653912
404	257934	1652692
405	258503	1651623
406	259042	1650362
407	259623	1649372
408	260217	1648465
409	260799	1647489
410	261330	1646193
411	261886	1645051
412	262420	1643780
413	262980	1642674
414	263587	1641861
415	264121	1640602
416	264691	1639565
417	265287	1638690
418	265836	1637528
419	266406	1636496
420	266949	1635300
421	267535	1634374
422	268231	1634120
423	268815	1633181
424	269359	1632003
425	269890	1630747
426	270467	1629772
427	271212	1629812
428	271783	1628798
429	272346	1627746
430	272905	1626667
431	273522	1625940
432	274123	1625113
433	274662	1623928
434	275242	1622979
435	275839	1622138
436	276430	1621260
437	276985	1620177
438	277715	1620112
439	278266	1619006
440	278872	1618218
441	279428	1617146
442	280032	1616350
443	280984	1617560
444	281524	1616394
445	282104	1615459
446	282654	1614355
447	283262	1613582
448	284017	1613651
449	284851	1614160
450	285559	1613946
451	286104	1612819
452	286667	1611792
453	287242	1610836
454	287773	1609632
455	288286	1608333
456	288801	1607053
457	289331	1605854
458	289853	1604615
459	290390	1603458
460	290955	1602464
461	291510	1601414
462	292066	1600372
463	292601	1599217
464	293115	1597954
465	293624	1596660
466	294179	1595623
467	294745	1594647
468	295306	1593647
469	295852	1592568
470	296345	1591207
471	296875	1590047
472	297483	1589303
473	298069	1588446
474	298668	1587656
475	299240	1586726
476	299815	1585818
477	300358	1584737
478	300907	1583691
479	301497	1582860
480	302097	1582085
481	302646	1581043
482	303178	1579916
483	303750	1578999
484	304353	1578246
485	304945	1577436
486	305527	1576572
487	306129	1575814
488	306891	1575880
489	307479	1575047
490	308076	1574262
491	308859	1574429
492	309469	1573711
493	310175	1573479
494	310708	1572374
495	311258	1571354
496	311856	1570576
497	312476	1569911
498	313120	1569366
499	313735	1568679
500	314311	1567792
501	314899	1566971
502	315465	1566038
503	316082	1565362
504	316657	1564478
505	317269	1563776
506	317836	1562850
507	318455	1562189
508	319319	1562722
509	319958	1562149
510	320556	1561380
511	321146	1560572
512	321688	1559529
513	322292	1558792
514	322880	1557978
515	323495	1557292
516	324099	1556552
517	324802	1556293
518	325418	1555613
519	326050	1555011
520	326674	1554368
521	327362	1554030
522	328023	1553562
523	328616	1552774
524	329188	1551889
525	329759	1550999
526	330402	1550445
527	330993	1549651
528	331995	1550774
529	332578	1549942
530	333160	1549101
531	333736	1548236
532	334334	1547475
533	334917	1546640
534	335456	1545609
535	336058	1544864
536	336671	1544174
537	337389	1543965
538	337977	1543160
539	338572	1542384
540	339102	1541315
541	339679	1540463
542	340280	1539723
543	340857	1538871
544	341612	1538822
545	342243	1538215
546	342882	1537645
547	343638	1537594
548	344146	1536433
549	344707	1535516
550	345303	1534752
551	345873	1533871
552	346522	1533347
553	347107	1532535
554	347728	1531884
555	348334	1531169
556	348900	1530276
557	349486	1529474
558	350081	1528709
559	350697	1528040
560	351252	1527102
561	351857	1526387
562	352422	1525495
563	353052	1524886
564	353642	1524103
565	354256	1523426
566	354809	1522491
567	355406	1521738
568	355955	1520785
569	356579	1520156
570	357170	1519380
571	357721	1518442
572	358324	1517721
573	358873	1516773
574	359432	1515868
575	359967	1514864
576	360590	1514228
577	361310	1514003
578	361908	1513265
579	362918	1514247
580	363505	1513459
581	364249	1513324
582	364807	1512419
583	365495	1512048
584	366078	1511245
585	366613	1510245
586	367187	1509410
587	367744	1508503
588	368595	1508800
589	369142	1507852
590	369743	1507126
591	370331	1506346
592	370902	1505503
593	371454	1504576
594	372007	1503659
595	372664	1503162
596	373228	1502291
597	373739	1501207
598	374414	1500782
599	375222	1500889
600	375933	1500606
601	376493	1499718
602	377055	1498843
603	377618	1497969
604	378139	1496931
605	378730	1496170
606	379415	1495783
607	380111	1495438
608	380653	1494488
609	381227	1493660
610	381799	1492828
611	382339	1491872
612	382911	1491045
613	383478	1490196
614	384095	1489541
615	384658	1488679
616	385244	1487905
617	385816	1487078
618	386418	1486369
619	386990	1485545
620	387519	1484556
621	388070	1483653
622	388601	1482672
623	389171	1481843
624	389744	1481029
625	390292	1480119
626	390911	1479480
627	391509	1478759
628	391956	1477471
629	392494	1476527
630	393093	1475812
631	393646	1474929
632	394167	1473926
633	394744	1473130
634	395305	1472280
635	395852	1471377
636	396442	1470632
637	397011	1469814
638	397604	1469084
639	398234	1468491
640	398734	1467416
641	399250	1466407
642	399799	1465516
643	400464	1465053
644	401021	1464193
645	401638	1463555
646	402225	1462806
647	402844	1462175
648	403404	1461329
649	403891	1460222
650	404452	1459384
651	405070	1458751
652	405624	1457887
653	406195	1457085
654	406742	1456200
655	407405	1455727
656	407933	1454777
657	408506	1453984
658	409082	1453204
659	409656	1452418
660	410196	1451511
661	410725	1450568
662	411281	1449719
663	411832	1448858
664	412406	1448072
665	412916	1447067
666	413528	1446421
667	414068	1445520
668	414634	1444712
669	415230	1444012
670	415806	1443237
671	416354	1442369
672	416898	1441489
673	417435	1440585
674	418040	1439916
675	418634	1439211
676	419138	1438197
677	419673	1437290
678	420214	1436403
679	420760	1435534
680	421366	1434873
681	421926	1434054
682	422459	1433146
683	422967	1432152
684	423572	1431488
685	424104	1430581
686	424883	1430504
687	425434	1429657
688	426117	1429255
689	426703	1428530
690	427263	1427715
691	427982	1427432
692	428547	1426635
693	429117	1425856
694	429705	1425138
695	430323	1424517
696	431026	1424179
697	432048	1424894
698	432578	1423981
699	433268	1423596
700	433781	1422630
701	434406	1422031
702	434949	1421164
703	435490	1420291
704	436015	1419371
705	436544	1418460
706	437100	1417639
707	437717	1417017
708	438262	1416161
709	438783	1415230
710	439335	1414399
711	439885	1413563
712	440439	1412740
713	440982	1411883
714	441575	1411187
715	442105	1410291
716	442746	1409749
717	443280	1408866
718	443834	1408047
719	444408	1407292
720	444928	1406369
721	445445	1405434
722	445946	1404454
723	446493	1403618
724	447056	1402831
725	447650	1402144
726	448188	1401283
727	448739	1400462
728	449247	1399506
729	449775	1398617
730	450358	1397898
731	450890	1397020
732	451462	1396270
733	451988	1395376
734	452538	1394556
735	453106	1393793
736	453706	1393132
737	454264	1392337
738	454796	1391467
739	455386	1390775
740	455901	1389852
741	456431	1388979
742	456932	1388018
743	457516	1387307
744	458102	1386604
745	458661	1385821
746	459211	1385009
747	459952	1384777
748	460469	1383866
749	461014	1383044
750	461539	1382159
751	462226	1381763
752	462746	1380863
753	463288	1380033
754	463858	1379288
755	464404	1378470
756	464975	1377729
757	465514	1376891
758	466063	1376084
759	466563	1375134
760	467123	1374363
761	467642	1373469
762	468202	1372698
763	468671	1371662
764	469200	1370800
765	469734	1369956
766	470256	1369076
767	470777	1368196
768	471340	1367440
769	471900	1366673
770	472423	1365798
771	473012	1365119
772	473649	1364576
773	474198	1363780
774	474760	1363022
775	475413	1362524
776	475939	1361664
777	476500	1360906
778	477046	1360104
779	477544	1359163
780	478089	1358362
781	478674	1357673
782	479295	1357085
783	479826	1356243
784	480362	1355417
785	480918	1354647
786	481446	1353801
787	482160	1353475
788	482681	1352608
789	483215	1351779
790	483744	1350937
791	484327	1350245
792	484840	1349361
793	485382	1348556
794	485953	1347832
795	486522	1347104
796	487042	1346242
797	487609	1345508
798	488114	1344605
799	488663	1343825
800	489230	1343092
801	489741	1342209
802	490305	1341471
803	490845	1340666
804	491398	1339899
805	491976	1339201
806	492661	1338794
807	493192	1337967
808	493721	1337136
809	494238	1336274
810	494778	1335473
811	495282	1334577
812	495856	1333872
813	496456	1333235
814	496976	1332385
815	497498	1331540
816	498079	1330854
817	498614	1330044
818	499139	1329210
819	499680	1328418
820	500208	1327592
821	500709	1326698
822	501214	1325812
823	501737	1324975
824	502289	1324218
825	502817	1323397
826	503388	1322687
827	503935	1321916
828	504483	1321151
829	505023	1320363
830	505551	1319544
831	506087	1318747
832	506630	1317969
833	507239	1317363
834	507777	1316571
835	508340	1315848
836	508988	1315342
837	509698	1314998
838	510283	1314329
839	510826	1313552
840	511440	1312961
841	512012	1312259
842	512789	1312084
843	513677	1312191
844	514381	1311825
845	515210	1311777
846	515815	1311157
847	516402	1310492
848	517004	1309866
849	517601	1309226
850	518194	1308577
851	518804	1307970
852	519603	1307842
853	520192	1307181
854	520818	1306615
855	521495	1306174
856	522144	1305666
857	522747	1305041
858	523365	1304453
859	524018	1303953
860	524658	1303419
861	525407	1303156
862	526188	1302971
863	526726	1302185
864	527288	1301456
865	527876	1300794
866	528496	1300210
867	529059	1299486
868	529765	1299115
869	530309	1298344
870	530858	1297587
871	531404	1296821
872	532004	1296190
873	532615	1295584
874	533214	1294950
875	533778	1294230
876	534362	1293558
877	534940	1292875
878	535570	1292314
879	536399	1292234
880	536975	1291545
881	537653	1291099
882	538224	1290397
883	538788	1289678
884	539363	1288987
885	539931	1288279
886	540453	1287462
887	540992	1286685
888	541648	1286187
889	542189	1285415
890	542772	1284743
891	543314	1283975
892	543914	1283346
893	544503	1282689
894	545072	1281985
895	545609	1281207
896	546177	1280501
897	546777	1279874
898	547414	1279330
899	547944	1278536
900	548554	1277930
901	549058	1277077
902	549651	1276433
903	550186	1275654
904	550776	1275001
905	551349	1274310
906	551901	1273570
907	552648	1273283
908	553261	1272683
909	553880	1272098
910	554436	1271369
911	554996	1270649
912	555630	1270099
913	556218	1269445
914	556784	1268739
915	557340	1268010
916	557908	1267310
917	558490	1266641
918	559117	1266075
919	559711	1265433
920	560324	1264836
921	560935	1264234
922	561481	1263484
923	562051	1262791
924	562620	1262094
925	563191	1261403
926	563752	1260690
927	564364	1260090
928	564948	1259427
929	565497	1258687
930	566103	1258074
931	566673	1257383
932	567244	1256692
933	567811	1255993
934	568380	1255300
935	568908	1254515
936	569526	1253929
937	570099	1253246
938	570700	1252624
939	571245	1251879
940	571827	1251215
941	572392	1250513
942	572919	1249729
943	573576	1249230
944	574202	1248661
945	574769	1247965
946	575288	1247166
947	575822	1246400
948	576486	1245915
949	577117	1245358
950	577715	1244730
951	578270	1244011
952	578825	1243290
953	579431	1242680
954	580016	1242025
955	580590	1241346
956	581209	1240764
957	581775	1240069
958	582311	1239310
959	582854	1238566
960	583421	1237872
961	583950	1237100
962	584496	1236365
963	585046	1235636
964	585596	1234910
965	586079	1234044
966	586625	1233309
967	587212	1232661
968	587760	1231930
969	588297	1231178
970	588916	1230599
971	589518	1229982
972	590143	1229415
973	590720	1228747
974	591285	1228055
975	591797	1227251
976	592351	1226536
977	592935	1225884
978	593477	1225146
979	594023	1224416
980	594588	1223725
981	595118	1222962
982	595703	1222312
983	596242	1221570
984	596812	1220890
985	597376	1220199
986	598074	1219780
987	598639	1219091
988	599155	1218303
989	599717	1217608
990	600329	1217014
991	600864	1216267
992	601410	1215540
993	601952	1214805
994	602510	1214103
995	603129	1213525
996	603653	1212756
997	604183	1211998
998	604730	1211277
999	605307	1210614
1000	605895	1209975
1001	606452	1209274
1002	607006	1208566
1003	607534	1207807
1004	608078	1207081
1005	608678	1206466
1006	609320	1205933
1007	609882	1205244
1008	610477	1204619
1009	611367	1204574
1010	611887	1203802
1011	612432	1203079
1012	613131	1202657
1013	613670	1201921
1014	614245	1201259
1015	614852	1200656
1016	615534	1200200
1017	616070	1199461
1018	616646	1198798
1019	617221	1198135
1020	617773	1197427
1021	618304	1196678
1022	618829	1195920
1023	619392	1195234
1024	619942	1194522
1025	620470	1193769
1026	621028	1193075
1027	621564	1192340
1028	622085	1191574
1029	622636	1190867
1030	623197	1190181
1031	623826	1189621
1032	624380	1188921
1033	625065	1188471
1034	625627	1187785
1035	626155	1187036
1036	626690	1186300
1037	627243	1185598
1038	627849	1184997
1039	628352	1184203
1040	628910	1183511
1041	629419	1182729
1042	629971	1182027
1043	630571	1181416
1044	631129	1180724
1045	631670	1180003
1046	632286	1179421
1047	633021	1179063
1048	633594	1178401
1049	634095	1177606
1050	634713	1177027
1051	635290	1176374
1052	635830	1175651
1053	636429	1175039
1054	636971	1174321
1055	637717	1173979
1056	638221	1173191
1057	638757	1172464
1058	639290	1171729
1059	639834	1171017
1060	640402	1170348
1061	640935	1169617
1062	641508	1168958
1063	642171	1168462
1064	642751	1167816
1065	643311	1167132
1066	643842	1166398
1067	644380	1165676
1068	644929	1164975
1069	645529	1164365
1070	646091	1163689
1071	646634	1162977
1072	647276	1162444
1073	647809	1161714
1074	648682	1161594
1075	649240	1160909
1076	649796	1160221
1077	650363	1159554
1078	650922	1158870
1079	651464	1158158
1080	652133	1157672
1081	652660	1156934
1082	653268	1156340
1083	653869	1155731
1084	654594	1155344
1085	655228	1154794
